Ail,0,0,0,0,0,0,1,0,0,0
Artichaut,1,0,1,0,0,0,0,0,0,0
Asperge blanche,0,0,0,0,0,0,0,0,0,1
Asperge verte,1,0,0,0,0,0,0,0,0,0,1
Aubergine,0,0,0,1,0,0,0,0,0,0,0
Bette,1,0,0,0,1,0,0,0,0,0
Betterave rouge,0,1,0,0,0,0,0,0,0,0
Brocoli,1,0,1,0,0,0,0,0,0,0
Carotte,0,1,0,0,0,0,0,0,0,0
Catalonia,1,0,0,0,0,0,0,0,0,0
Céleri,1,0,0,0,0,0,1,0,0,1
Céleri branche,1,0,0,0,0,0,0,0,0,1
Céleri rave,0,1,0,0,0,0,0,0,0,1
Chou blanc,0,0,0,0,1,0,0,0,0,0
Chou de Bruxelles,1,0,0,0,1,0,0,0,0,0
Chou frisé,1,0,0,0,0,0,0,0,0,0
Chou Romanesco,1,0,0,0,0,0,0,0,0,0
Chou rouge,0,0,0,0,0,0,0,0,0,0
Chou-chinois,1,0,0,0,1,0,0,0,0,0
Chou-fleur,0,0,1,0,0,0,0,0,0,0
Chou-rave,0,1,0,0,0,0,0,0,0,0
Cima di Rapa,1,0,0,0,0,0,0,0,0,0
Citrouille,0,0,0,1,0,0,0,0,0,0
Concombre,1,0,0,1,0,0,0,0,0,0
Courge,0,0,0,1,0,0,0,0,0,0
Courgette,1,0,0,1,0,0,0,0,0,0
Cresson,1,0,0,0,1,0,1,0,0,0
Endive,1,0,0,0,1,0,0,0,0,0
Epinard,1,0,0,0,0,0,0,0,0,0
Fenouil,1,0,0,0,0,0,1,0,0,0
Haricot,1,0,0,0,0,1,0,0,0,0
Laitue romaine,1,0,0,0,1,0,0,0,0,0
Mâche,1,0,0,0,0,0,0,0,0,0
Maïs,0,0,0,0,0,0,0,0,0,0
Navet,0,1,0,0,0,0,0,0,0,0
Oignon,0,0,0,0,0,0,0,0,1,0
Panais,0,0,0,0,0,0,0,0,0,0
Pâtisson,0,0,0,0,0,0,0,0,0,0
Petit oignon blanc,0,0,0,0,0,0,0,0,0,0
Petit pois,1,0,0,0,0,1,0,0,0,0
Poireau,1,0,0,0,0,0,0,0,0,1
Pois mange-tout,1,0,0,1,0,0,0,0,0,0
Poivron,0,0,0,1,0,0,0,0,0,0
Pomme de terre,0,1,0,0,0,0,0,1,0,0
Potimarron,0,0,0,0,0,0,0,0,0,0
Potiron,0,0,0,0,0,0,0,0,0,0
Radis,0,1,0,0,0,0,0,0,0,0
Radis long,0,1,0,0,0,0,0,0,0,0
Rhubarbe,0,0,0,0,1,0,0,0,0,0
Salsifis,0,0,0,0,0,0,0,0,0,0
Topinambour,0,0,0,0,0,0,0,1,0,0
